"Time","Event"
137,12
290,14
372,3
430,8
584,10
640,1
726,7
745,3
916,2
147,6
235,10
327,4
417,9
498,10
545,2
646,8
811,12
824,14
109,8
139,14
257,12
364,11
492,6
591,0
662,0
712,13
39,3
109,14
213,12
235,8
292,7
319,3
454,12
483,9
595,14
645,7
23,3
63,14
111,12
128,8
212,7
296,3
445,12
468,9
564,14
650,7
50,6
126,10
279,4
382,9
504,10
567,2
674,8
775,12
840,14
73,0
166,14
229,5
333,0
442,4
464,2
511,2
529,10
609,2
144,6
214,10
398,4
493,9
595,10
636,2
756,8
873,12
894,14
136,12
266,14
356,3
374,8
486,10
553,1
656,7
676,3
835,2
19,10
54,4
128,1
279,4
371,8
387,8
463,14
546,0
607,10
710,12
92,8
137,12
236,5
341,11
446,13
541,4
650,3
772,11
802,1
908,0
1002,8
119,11
207,3
332,12
402,11
426,2
472,8
520,7
619,8
645,10
741,9
51,11
138,3
260,12
333,11
364,2
409,8
458,7
545,8
571,10
648,9
79,11
166,3
269,12
334,11
371,2
416,8
473,7
583,8
615,10
701,9
36,12
139,1
186,2
251,10
273,7
374,12
431,1
517,3
574,0
28,10
47,4
74,1
194,4
293,8
342,8
391,14
461,0
522,10
630,12
88,10
119,4
204,1
317,4
407,8
444,8
494,14
572,0
631,10
718,12
28,12
155,14
249,3
268,8
351,10
426,1
488,7
508,3
594,2
8,10
45,4
102,1
242,4
336,8
380,8
429,14
502,0
562,10
652,12
95,10
115,4
188,1
252,4
344,8
360,8
431,14
512,0
570,10
661,12
6,12
130,1
165,2
249,10
299,7
395,12
454,1
553,3
625,0
19,3
46,14
109,12
125,8
181,7
256,3
364,12
385,9
481,14
539,7
131,8
165,12
253,5
393,11
480,13
575,4
658,3
839,11
880,1
962,0
1057,8
3,12
93,1
156,2
246,10
263,7
354,12
410,1
463,3
508,0
89,6
156,10
335,4
438,9
598,10
658,2
807,8
906,12
956,14
52,13
144,6
250,7
369,1
408,10
528,13
653,3
683,0
142,8
212,12
317,5
407,11
503,13
587,4
662,3
808,11
852,1
933,0
1029,8
37,10
80,4
144,1
214,4
305,8
333,8
433,14
513,0
571,10
671,12
11,11
100,3
205,12
276,11
318,2
362,8
410,7
509,8
540,10
678,9
16,13
89,6
181,7
250,1
265,10
413,13
531,3
617,0
90,11
179,3
314,12
388,11
428,2
474,8
534,7
647,8
675,10
759,9
70,12
248,14
331,3
350,8
474,10
527,1
609,7
628,3
720,2
89,8
124,14
238,12
331,11
426,6
502,0
538,0
581,13
122,6
185,10
290,4
406,9
563,10
633,2
769,8
904,12
968,14
23,10
58,4
163,1
251,4
351,8
396,8
468,14
541,0
598,10
679,12
9,6
102,10
234,4
331,9
438,10
492,2
561,8
686,12
761,14
72,10
88,4
146,1
211,4
309,8
355,8
422,14
506,0
566,10
665,12
33,8
73,12
179,5
246,11
370,13
457,4
589,3
765,11
800,1
868,0
963,8
88,3
135,14
181,12
197,8
239,7
296,3
402,12
410,9
508,14
542,7
143,11
232,3
353,12
415,11
451,2
497,8
556,7
659,8
682,10
787,9
41,10
57,4
87,1
212,4
308,8
325,8
392,14
464,0
523,10
607,12
44,12
171,1
237,2
303,10
326,7
403,12
463,1
572,3
629,0
33,13
106,6
182,7
272,1
286,10
378,13
465,3
495,0
61,8
74,12
168,5
259,11
354,13
442,4
543,3
732,11
762,1
852,0
946,8
44,8
78,14
198,12
279,11
419,6
499,0
519,0
569,13
2,12
108,1
172,2
254,10
266,7
340,12
398,1
506,3
553,0
107,10
132,4
230,1
310,4
410,8
434,8
501,14
578,0
638,10
675,12
91,6
156,10
260,4
363,9
490,10
563,2
644,8
823,12
857,14
146,3
213,14
266,12
294,8
364,7
443,3
547,12
561,9
667,14
767,7
56,13
145,6
228,7
354,1
365,10
492,13
592,3
662,0
136,12
215,1
273,2
360,10
414,7
495,12
550,1
625,3
726,0
100,12
188,1
207,2
272,10
308,7
376,12
431,1
501,3
572,0
37,13
115,6
199,7
266,1
317,10
461,13
590,3
653,0
40,0
108,14
168,5
248,0
308,4
333,2
382,2
394,10
460,2
82,11
171,3
270,12
322,11
362,2
408,8
461,7
554,8
578,10
670,9
80,12
161,1
177,2
262,10
281,7
343,12
402,1
528,3
616,0
30,8
64,14
164,12
264,11
361,6
408,0
470,0
513,13
143,0
231,14
277,5
354,0
426,4
451,2
496,2
510,10
579,2
92,3
138,14
226,12
270,8
359,7
446,3
554,12
566,9
661,14
732,7
14,12
157,14
248,3
301,8
406,10
491,1
571,7
591,3
680,2
11,12
107,1
142,2
238,10
298,7
391,12
447,1
533,3
636,0
84,0
159,14
218,5
318,0
393,4
417,2
464,2
482,10
532,2
93,11
180,3
298,12
353,11
386,2
432,8
493,7
582,8
611,10
727,9
37,13
131,6
228,7
354,1
378,10
459,13
553,3
618,0
147,0
229,14
286,5
377,0
495,4
518,2
564,2
579,10
627,2
140,12
208,1
244,2
342,10
359,7
446,12
500,1
630,3
726,0
73,12
185,1
209,2
287,10
294,7
377,12
431,1
525,3
638,0
0,6
92,10
251,4
341,9
430,10
515,2
676,8
771,12
844,14
108,12
288,14
376,3
392,8
507,10
585,1
670,7
689,3
867,2
24,13
110,6
202,7
312,1
366,10
450,13
536,3
597,0
148,8
206,12
309,5
398,11
512,13
602,4
677,3
850,11
880,1
969,0
1064,8
15,8
41,14
138,12
281,11
373,6
451,0
478,0
525,13
47,8
81,14
201,12
334,11
460,6
519,0
569,0
611,13
56,11
144,3
274,12
314,11
345,2
389,8
452,7
542,8
564,10
679,9
72,13
201,6
310,7
444,1
465,10
604,13
705,3
733,0
27,0
148,14
194,5
277,0
348,4
371,2
416,2
437,10
515,2
86,6
182,10
364,4
463,9
581,10
621,2
726,8
866,12
906,14
146,10
173,4
276,1
401,4
499,8
513,8
600,14
669,0
728,10
785,12
62,6
141,10
286,4
426,9
537,10
627,2
768,8
909,12
980,14
139,6
208,10
333,4
443,9
580,10
671,2
823,8
993,12
1066,14
72,8
83,12
181,5
275,11
383,13
475,4
606,3
771,11
806,1
860,0
955,8
111,13
217,6
323,7
445,1
464,10
571,13
703,3
782,0
59,13
134,6
230,7
295,1
350,10
504,13
609,3
659,0
48,8
94,14
215,12
366,11
470,6
566,0
609,0
658,13
6,8
35,12
123,5
241,11
324,13
418,4
494,3
679,11
723,1
800,0
896,8
146,8
191,14
309,12
449,11
581,6
666,0
716,0
760,13
123,12
251,1
266,2
330,10
363,7
442,12
501,1
552,3
629,0
51,0
119,14
157,5
237,0
275,4
300,2
348,2
370,10
447,2
148,8
170,12
271,5
374,11
492,13
582,4
707,3
835,11
871,1
967,0
1063,8
101,11
189,3
327,12
387,11
436,2
482,8
539,7
626,8
657,10
734,9
84,10
118,4
224,1
360,4
458,8
468,8
561,14
638,0
695,10
760,12
96,3
158,14
210,12
230,8
301,7
354,3
514,12
526,9
636,14
689,7
131,3
198,14
321,12
355,8
420,7
520,3
635,12
664,9
769,14
852,7
40,8
99,14
216,12
371,11
466,6
526,0
554,0
598,13
9,10
38,4
122,1
259,4
356,8
399,8
504,14
577,0
634,10
731,12
12,0
124,14
191,5
291,0
