"Time","Event"
1,0
48,3
70,4
119,2
121,6
156,6
156,1
183,0
243,2
63,0
76,4
128,2
137,3
162,6
207,6
235,1
323,2
362,0
45,4
67,0
124,2
131,3
158,6
238,6
262,1
328,0
343,2
127,4
212,0
220,6
225,2
275,3
375,6
415,1
459,0
488,2
-5,0
32,4
64,3
121,2
138,6
144,1
162,0
171,6
227,2
13,4
84,0
125,2
136,3
152,6
197,6
204,1
242,0
288,2
-33,0
26,4
38,3
82,2
105,6
123,6
153,1
171,0
222,2
61,0
119,3
128,4
187,6
196,2
237,1
257,0
261,6
321,2
100,0
119,2
140,4
145,3
183,0
221,6
239,6
243,1
318,2
38,0
41,4
85,0
91,3
101,2
132,6
197,6
202,1
284,2
98,4
113,0
129,2
162,3
186,6
271,6
272,1
340,2
360,0
40,0
104,3
118,2
125,4
198,6
209,1
211,6
261,0
277,2
-56,0
12,3
15,4
55,2
106,6
140,6
143,1
225,0
227,2
16,0
65,3
103,4
124,2
161,6
206,6
212,1
288,2
346,0
35,0
84,4
117,3
161,2
198,6
217,1
224,0
232,6
297,2
94,4
117,0
187,6
190,3
206,2
270,6
304,1
372,2
397,0
46,0
126,3
139,2
142,4
237,6
242,0
264,6
272,1
353,2
78,0
145,3
146,4
210,2
219,6
230,0
252,1
274,6
322,2
98,4
116,0
167,3
248,6
249,6
250,2
254,1
268,0
330,2
129,0
142,4
157,2
177,3
234,0
274,6
282,6
308,1
379,2
38,0
52,4
108,3
139,2
143,6
182,6
217,1
302,2
356,0
45,4
81,0
99,2
146,3
190,6
243,6
280,1
357,2
375,0
1,4
73,0
104,2
122,3
157,6
204,6
234,1
308,2
325,0
64,0
67,4
127,3
163,6
176,2
200,0
215,6
229,1
315,2
61,4
132,0
163,2
189,6
206,3
274,6
288,0
299,1
368,2
-65,0
-19,0
-9,3
32,4
62,2
65,6
67,1
153,2
180,6
69,0
115,2
129,4
139,3
202,6
209,1
227,6
289,2
354,0
57,0
103,3
111,4
121,2
172,6
189,1
205,6
269,2
281,0
31,0
113,3
122,2
124,4
195,6
219,1
241,6
298,2
348,0
82,4
148,0
207,0
215,3
240,6
245,2
305,6
323,1
391,2
20,4
52,0
105,2
124,3
144,6
186,6
203,1
291,2
293,0
1,4
15,0
93,3
116,6
132,2
200,6
244,1
316,2
334,0
139,4
202,0
234,2
260,6
262,3
347,6
394,1
476,2
478,0
93,4
134,0
188,3
224,6
237,2
251,0
262,6
298,1
373,2
-4,0
5,4
41,3
46,2
118,6
154,1
165,6
196,0
225,2
82,0
112,4
123,2
135,3
235,6
237,6
251,0
254,1
329,2
145,4
215,0
275,3
300,2
305,6
337,6
381,1
449,2
512,0
25,0
68,4
98,3
116,2
204,6
217,6
227,0
251,1
320,2
2,4
92,0
105,2
149,3
155,6
218,6
268,1
285,0
337,2
108,4
173,0
193,2
230,3
263,6
308,6
331,1
412,2
428,0
72,4
181,0
197,2
225,6
253,3
275,0
330,6
379,1
448,2
71,0
106,4
118,3
181,2
214,6
228,6
252,1
322,2
383,0
131,4
179,0
208,2
234,0
251,3
292,6
323,6
342,1
430,2
82,4
162,0
205,2
206,6
227,3
238,0
290,6
313,1
384,2
-45,0
2,3
44,4
64,2
92,6
94,0
120,1
176,6
204,2
-73,0
-7,3
4,4
34,2
71,6
98,1
105,0
113,6
176,2
50,0
52,4
105,3
141,0
149,2
197,6
203,6
205,1
287,2
42,4
135,0
149,2
189,6
191,3
269,6
311,1
390,2
398,0
