"Time","Event"
2,5
97,22
114,20
130,3
137,24
158,24
159,27
167,19
171,27
171,24
176,20
214,22
238,3
244,4
256,25
10,10
17,14
97,7
114,21
118,20
129,13
135,7
142,16
142,24
146,23
155,23
166,21
210,3
221,24
37,0
132,25
136,4
139,12
194,21
219,12
360,7
460,1
569,5
581,19
638,13
748,25
798,29
812,18
818,8
847,29
41,5
120,7
122,18
141,8
171,28
187,27
190,19
195,14
220,19
224,13
290,4
311,20
355,28
414,1
8,5
69,8
113,27
116,19
130,28
140,4
142,7
153,28
159,13
166,20
182,19
185,14
257,18
284,1
12,7
77,18
92,17
121,4
131,9
133,25
138,26
143,19
157,18
158,19
175,29
229,14
318,22
412,2
27,5
104,8
122,28
135,4
139,27
144,28
151,19
176,7
250,14
251,19
270,13
274,18
352,20
458,1
43,14
48,23
81,25
156,11
165,6
168,8
262,24
360,0
437,14
459,10
479,18
540,18
564,19
8,26
46,19
105,8
129,13
149,26
152,21
212,2
215,9
236,4
261,25
299,21
313,14
349,21
354,27
406,3
23,14
39,11
108,26
124,20
130,9
132,29
136,2
139,19
160,19
197,23
209,13
244,17
268,24
9,10
12,14
88,7
98,21
118,7
122,20
131,13
132,21
154,24
167,16
179,3
186,23
213,24
257,23
26,6
96,0
122,12
135,16
137,20
145,13
154,27
178,11
222,10
228,2
271,1
341,19
415,5
509,2
16,10
41,14
98,24
123,7
135,7
145,16
158,23
160,23
163,20
185,24
189,13
211,21
217,21
245,3
6,14
30,23
102,6
107,8
140,19
150,25
170,18
185,0
187,18
197,11
215,24
229,14
293,10
13,21
23,6
65,15
108,25
140,28
147,10
149,19
200,25
225,25
255,20
258,13
269,26
285,17
376,2
3,0
60,4
104,21
112,25
133,12
154,29
190,8
223,29
233,12
238,7
261,18
325,1
344,19
424,5
510,25
529,13
39,21
61,6
129,15
130,19
147,10
154,25
177,13
186,28
285,25
318,20
380,25
454,17
526,26
643,2
31,10
40,19
101,19
123,24
149,21
171,15
172,11
173,9
197,0
217,14
233,16
248,29
251,5
281,22
302,14
9,19
72,19
105,9
110,16
128,29
154,14
166,15
172,0
177,10
194,24
232,22
304,14
307,21
339,5
442,11
33,14
56,23
72,25
103,0
124,24
163,8
165,6
188,11
235,10
250,18
307,14
326,18
341,19
13,11
85,26
88,20
94,2
121,14
127,19
143,29
151,23
177,17
194,13
244,9
254,24
291,19
23,21
35,6
56,19
81,17
108,2
117,25
127,26
145,15
155,13
159,28
215,10
220,25
354,25
416,20
22,19
83,19
110,9
124,11
146,24
165,15
