"Time","Event"
4,5
107,27
116,22
172,3
173,4
182,19
255,20
367,3
455,27
518,24
601,25
662,24
781,24
879,22
963,20
47,12
102,9
102,12
137,8
192,13
201,24
250,6
339,1
426,29
540,8
575,6
597,5
676,24
778,29
878,24
4,11
91,20
107,19
134,23
143,2
187,29
285,26
366,13
424,24
445,19
526,17
593,9
673,14
37,5
155,22
221,19
300,27
376,3
380,4
463,20
573,3
655,27
756,24
867,25
930,24
1061,24
1162,22
1195,20
17,14
74,23
151,8
154,25
230,11
292,6
398,24
477,0
607,10
707,19
743,18
825,14
871,18
23,27
92,15
126,4
197,25
278,10
293,14
367,14
504,28
528,6
557,14
589,10
612,29
625,14
740,13
839,4
42,5
119,22
188,19
270,27
354,3
359,4
496,20
597,3
730,27
762,24
807,25
872,24
1031,24
1093,22
1181,20
10,12
85,9
101,12
137,8
151,13
209,24
251,6
303,1
381,29
421,8
453,6
485,5
562,24
624,29
684,24
34,6
102,0
170,13
197,27
296,1
366,2
429,11
463,16
549,10
666,19
706,5
785,2
897,20
917,12
18,26
48,19
100,8
101,13
214,26
364,25
499,14
564,27
618,3
658,21
742,4
834,2
971,9
1091,21
1136,21
40,5
106,27
133,22
180,3
181,4
200,19
272,20
372,3
474,27
490,24
534,25
595,24
687,24
745,22
793,20
29,0
106,25
107,4
148,21
210,12
278,12
391,7
476,1
625,19
727,5
812,13
902,25
1024,29
1062,29
1117,8
1147,18
27,5
130,22
196,19
275,27
342,3
347,4
427,20
539,3
619,27
664,24
710,25
775,24
897,24
969,22
1048,20
28,5
84,8
102,28
205,14
213,19
243,13
335,20
429,1
533,27
548,19
650,4
733,28
837,7
939,18
26,6
83,0
105,27
132,13
237,1
313,2
369,11
398,16
471,10
595,19
630,5
755,2
866,20
878,12
43,12
60,9
160,13
193,12
227,8
320,24
343,6
395,1
470,29
581,8
605,6
620,5
687,24
721,29
820,24
30,10
68,14
105,7
142,7
180,24
265,20
355,21
418,16
433,23
501,23
588,3
625,13
739,21
821,24
21,0
109,25
114,4
156,21
223,12
301,12
433,7
520,1
622,19
759,5
862,13
947,25
1053,29
1088,29
1114,8
1211,18
5,10
92,14
106,7
168,7
220,24
288,20
383,21
458,16
473,23
555,23
642,3
697,13
853,21
920,24
3,27
54,15
107,4
170,25
207,10
230,14
256,14
349,28
410,6
453,14
502,10
531,29
550,14
646,13
757,4
42,27
102,25
121,15
143,4
165,10
174,14
195,14
281,28
309,6
344,14
411,10
436,29
461,14
583,13
677,4
36,27
109,25
119,15
148,10
149,4
164,14
221,14
335,28
405,6
437,14
471,10
487,29
494,14
570,13
644,4
33,10
74,14
101,7
142,7
179,24
304,20
373,21
454,16
468,23
537,23
623,3
657,13
807,21
886,24
23,16
101,3
134,7
173,26
250,11
259,15
319,19
395,15
422,7
547,12
647,1
664,15
733,15
850,5
990,22
1045,4
41,27
95,15
126,4
190,25
226,10
234,14
267,14
374,28
453,6
475,14
516,10
554,29
576,14
676,13
773,4
20,27
102,25
103,15
154,4
156,10
162,14
214,14
343,28
423,6
458,14
488,10
535,29
551,14
667,13
763,4
32,14
55,23
101,25
167,8
177,11
285,6
387,24
464,0
563,10
656,19
712,18
786,14
841,18
23,11
161,20
216,23
267,19
306,2
347,29
441,26
554,13
614,24
659,19
751,17
818,9
863,14
46,5
103,28
152,8
266,14
275,19
298,13
389,20
496,1
593,27
600,19
716,4
792,28
887,7
997,18
2,5
89,8
103,28
191,14
229,19
245,13
294,20
404,1
523,27
539,19
667,4
738,28
