"Time","Event"
122,6
204,10
275,14
305,12
339,9
360,4
443,10
509,8
520,2
94,6
183,10
294,4
335,12
360,8
389,9
396,14
486,2
520,10
140,8
179,14
245,11
283,12
356,0
369,6
389,13
442,0
81,11
168,3
272,12
304,7
324,2
352,11
368,8
368,8
390,10
456,9
128,10
183,4
225,4
255,1
270,8
318,8
368,14
451,0
511,10
580,12
125,12
267,14
282,8
347,10
359,3
368,3
397,2
403,1
492,7
16,10
65,4
88,1
308,8
318,4
364,8
366,14
422,12
448,0
505,10
9,11
98,3
231,12
313,8
314,2
339,11
352,10
361,7
412,8
483,9
16,8
45,12
139,5
312,0
356,11
406,8
489,13
577,4
705,3
745,11
782,1
35,12
140,1
182,2
394,10
422,7
507,12
562,1
564,3
627,0
124,8
136,12
228,5
243,13
250,11
268,4
315,8
350,3
380,1
428,0
535,11
103,0
192,14
256,5
318,2
327,4
352,2
354,0
382,10
457,2
50,6
117,10
225,4
326,9
381,10
452,2
556,8
707,12
758,14
124,8
182,14
297,12
375,11
379,6
380,0
405,0
449,13
62,10
104,4
105,8
141,1
142,8
147,4
164,14
245,0
375,12
394,10
39,12
161,1
189,2
324,10
337,12
361,0
374,7
396,1
485,3
144,6
211,10
347,4
351,9
469,10
539,2
686,12
689,8
729,14
111,10
144,4
169,4
203,1
257,8
294,14
297,8
328,10
376,0
390,12
83,6
165,10
245,8
255,4
259,2
288,10
303,14
313,9
385,12
88,13
202,6
290,7
335,1
384,10
433,13
494,0
561,3
79,8
138,12
240,5
264,11
286,0
311,11
329,3
348,1
380,8
398,13
486,4
76,3
102,14
180,12
299,8
349,3
363,7
379,14
435,7
495,12
518,9
43,8
115,12
205,5
305,11
311,3
318,4
333,11
366,1
383,0
412,13
479,8
108,13
203,6
313,7
359,1
370,0
409,10
434,13
471,3
14,8
50,12
146,5
304,3
306,11
347,11
367,13
381,1
456,4
464,0
559,8
140,11
228,3
331,8
335,12
336,7
339,10
355,2
356,9
365,11
383,8
50,7
66,12
132,1
163,10
179,2
205,12
263,1
383,3
394,0
7,8
70,14
183,12
282,6
292,0
309,11
328,0
372,13
48,11
135,3
260,11
265,12
295,2
310,9
355,8
373,7
460,8
491,10
11,3
76,14
132,12
202,7
226,8
323,3
354,12
361,14
362,7
375,9
87,8
154,14
257,12
342,13
361,6
363,0
379,11
405,0
131,8
193,14
305,12
370,0
386,11
415,13
425,0
499,6
144,12
295,14
349,7
369,3
371,8
380,1
384,3
392,10
540,2
94,10
120,4
153,4
158,1
193,0
208,14
250,10
251,8
259,8
330,12
130,11
218,3
291,11
301,7
304,8
315,2
318,8
345,12
347,10
432,9
62,13
174,6
262,7
272,1
326,10
349,13
360,3
407,0
25,12
169,14
183,8
257,3
317,10
379,2
409,1
490,7
510,3
62,6
125,10
266,4
318,2
322,12
330,8
366,9
379,14
413,10
148,13
260,6
318,1
362,10
374,7
392,13
458,0
494,3
87,6
153,10
286,4
343,14
387,9
485,10
556,2
658,8
724,12
93,8
120,14
225,12
230,11
241,13
303,0
314,6
379,0
18,8
73,12
165,5
356,13
362,4
384,11
480,3
539,11
581,1
670,0
764,8
15,11
103,3
143,11
198,12
228,2
347,8
376,9
400,10
404,7
464,8
107,12
283,14
331,1
342,3
364,10
371,3
373,8
416,7
461,2
46,3
66,14
122,12
222,8
281,7
304,3
312,9
408,14
440,12
460,7
78,12
198,1
224,2
317,10
380,7
480,12
538,1
675,3
783,0
48,10
107,4
138,4
148,1
229,14
238,8
244,12
274,8
293,10
314,0
47,13
137,6
233,1
235,7
272,10
335,0
405,3
415,13
136,8
151,12
251,5
322,0
323,11
324,4
335,3
363,8
367,11
403,1
457,13
9,8
41,14
148,12
317,13
325,11
330,0
406,0
463,6
76,8
109,14
212,12
242,11
374,6
449,0
461,13
513,0
106,12
272,14
288,8
300,3
341,2
363,3
386,1
386,7
429,10
88,8
139,14
237,12
364,11
479,0
498,6
521,13
558,0
112,3
155,14
224,12
304,8
320,9
323,7
351,3
394,12
398,7
432,14
58,0
129,14
166,5
209,0
310,4
335,2
341,2
382,2
408,10
95,0
191,14
248,0
249,5
320,2
328,10
330,4
365,2
386,2
22,12
137,10
150,1
156,14
171,8
239,3
298,2
309,3
372,7
105,11
194,3
307,8
322,12
322,11
349,8
358,10
361,2
406,7
501,9
33,8
110,12
163,11
198,13
213,5
322,4
392,1
456,3
500,0
596,8
614,11
26,6
90,10
227,4
369,9
375,12
439,14
465,2
475,8
517,10
123,8
142,12
240,5
305,8
325,3
353,11
361,4
382,13
384,1
388,0
438,11
117,13
186,13
224,6
229,10
276,3
301,1
305,7
318,0
44,11
131,3
246,12
299,9
314,7
326,8
354,10
363,11
389,2
391,8
80,6
143,10
315,4
365,9
383,10
393,14
427,8
444,2
549,12
26,8
56,12
163,5
306,4
308,11
388,1
389,0
391,13
393,8
414,3
522,11
37,11
124,3
211,2
238,11
248,12
337,8
359,10
396,8
402,7
461,9
3,13
97,6
111,10
177,7
188,13
190,1
300,3
350,0
47,0
141,14
164,4
185,0
197,5
222,2
253,2
281,10
320,2
145,6
211,10
362,4
362,9
442,10
517,2
524,8
686,12
721,14
15,0
97,14
150,5
314,4
338,2
344,0
381,2
399,10
458,2
9,0
80,14
91,0
119,5
186,4
208,2
252,2
268,10
344,2
117,0
228,14
265,2
277,4
294,5
326,0
345,2
359,10
420,2
10,8
90,12
161,11
178,5
289,13
292,4
404,3
466,11
511,1
605,0
701,8
112,12
134,7
203,12
211,1
223,10
236,2
325,0
367,3
373,1
112,13
198,6
313,7
338,1
379,10
384,13
392,3
434,0
66,6
150,10
254,4
339,9
352,8
390,12
403,14
445,10
499,2
73,8
123,14
227,12
311,13
348,0
369,0
390,11
477,6
77,12
134,1
170,2
373,10
423,7
489,3
498,12
556,1
591,0
77,3
104,14
176,12
280,7
329,3
337,8
434,9
435,7
478,12
533,14
99,13
176,6
227,10
271,7
325,1
345,13
362,3
448,0
102,12
153,1
202,7
221,10
223,14
231,8
267,3
307,2
308,3
127,13
241,6
290,10
330,7
341,1
417,13
498,0
540,3
101,3
148,14
249,9
266,12
299,12
316,3
333,7
357,14
363,8
429,7
16,3
62,14
79,8
115,12
139,7
183,3
282,12
309,9
348,14
385,7
146,12
212,1
269,2
320,3
359,10
375,1
406,7
419,0
428,12
72,8
97,12
186,5
220,11
300,4
311,13
381,8
387,11
390,3
395,0
427,1
136,8
183,14
292,0
296,12
339,13
381,11
388,0
474,6
112,6
174,10
256,9
274,4
384,10
422,2
564,8
713,12
780,14
88,12
192,14
284,3
314,1
351,7
355,8
357,10
371,3
393,2
14,6
75,10
171,9
204,4
217,10
273,2
313,12
345,14
393,8
70,0
189,14
226,5
277,0
280,2
321,10
329,2
364,4
397,2
9,13
77,6
183,7
203,1
354,3
375,10
376,13
395,0
70,11
157,3
273,12
378,11
396,10
404,2
421,9
448,8
500,7
517,8
85,13
181,6
275,7
320,1
324,0
345,10
460,13
573,3
27,13
154,6
226,1
249,10
256,7
334,13
444,3
476,0
113,13
202,6
301,13
303,7
354,3
377,1
386,0
401,10
140,8
155,12
246,11
250,5
299,13
310,0
323,4
352,8
377,11
409,3
410,1
45,10
59,4
113,1
128,4
156,8
173,8
254,14
296,10
326,0
388,12
140,6
217,10
267,14
306,9
338,4
374,12
466,10
503,2
539,8
64,12
125,1
161,10
183,2
217,7
347,1
364,12
470,3
539,0
87,13
201,6
280,1
307,7
318,10
377,0
428,13
542,3
136,11
224,3
316,11
319,12
353,2
399,8
446,7
539,8
563,10
658,9
5,8
31,12
85,11
134,5
249,13
301,8
334,4
335,3
449,1
499,0
511,11
96,12
172,10
187,1
228,2
234,7
366,12
393,3
423,1
474,0
22,12
125,1
137,2
265,10
370,7
424,1
471,12
531,3
601,0
124,12
220,1
280,2
327,0
362,12
364,1
391,3
397,10
456,7
133,13
260,6
324,13
336,1
368,10
376,7
445,3
498,0
112,12
224,14
316,3
352,10
373,8
408,1
499,7
518,3
668,2
149,8
186,14
298,12
323,13
339,11
480,6
541,0
600,0
128,0
203,14
207,0
239,4
252,5
263,2
309,2
323,10
387,2
58,8
125,12
167,11
222,5
269,4
279,13
328,0
374,1
393,11
403,3
424,8
96,12
254,14
338,8
348,3
376,10
396,3
466,1
488,2
570,7
73,10
93,4
144,4
177,1
235,8
340,8
417,14
423,0
481,10
549,12
90,12
215,8
216,14
310,3
338,10
406,1
469,7
489,3
516,2
105,12
125,3
127,0
146,12
162,7
164,1
218,1
248,10
266,2
86,8
123,12
225,5
243,0
319,11
331,1
337,8
378,4
405,13
472,3
651,11
82,13
160,6
255,7
362,1
399,10
550,13
552,0
582,3
20,10
78,4
115,4
122,1
156,8
214,8
222,0
232,14
363,10
367,12
89,8
141,14
262,12
315,0
343,6
361,13
393,11
407,0
26,8
101,12
208,5
311,0
314,4
318,13
344,8
357,11
430,3
527,11
566,1
46,6
129,10
260,14
305,12
313,4
321,2
348,10
359,9
417,8
97,13
174,6
252,7
302,1
331,10
372,3
374,13
414,0
142,6
227,10
317,9
364,8
379,4
407,10
424,12
471,2
477,14
133,12
257,1
267,2
296,10
317,7
368,1
368,3
395,12
418,0
25,12
203,14
295,3
360,8
388,7
399,10
401,1
407,3
508,2
70,8
111,12
218,5
223,11
309,13
397,4
498,3
657,0
665,11
678,8
695,1
48,12
126,1
133,2
203,3
262,1
269,0
322,10
326,12
345,7
92,3
125,8
142,14
178,12
266,3
276,7
315,12
323,9
388,14
440,7
9,6
72,10
166,4
313,12
316,9
345,14
411,2
462,10
490,8
51,8
102,14
210,12
321,13
340,0
380,11
460,6
493,0
45,12
117,1
138,2
164,10
334,7
390,1
397,12
410,3
466,0
22,0
88,10
96,2
108,14
138,0
141,2
144,5
162,2
173,4
81,12
229,14
257,8
323,3
332,3
342,10
417,1
425,7
483,2
23,8
70,14
149,0
173,0
181,11
183,12
192,13
259,6
66,13
163,6
221,1
230,13
235,10
264,7
349,3
430,0
133,0
210,14
260,5
278,0
306,2
380,4
387,10
404,2
451,2
41,12
190,14
244,8
282,3
299,1
334,7
335,10
350,3
398,2
129,11
217,3
303,11
317,10
331,7
334,12
340,2
364,9
384,8
440,8
110,7
138,3
146,3
161,8
170,14
204,9
269,12
305,12
312,14
314,7
54,10
98,4
163,1
315,10
342,4
365,8
383,12
386,8
460,0
481,14
148,3
202,14
242,7
247,9
276,8
287,12
324,3
340,12
349,14
371,7
47,11
136,3
172,11
202,2
240,12
248,8
284,10
308,7
341,9
349,8
25,3
53,14
153,12
233,3
234,7
309,8
324,7
340,14
350,12
361,9
10,3
46,14
65,8
140,3
143,12
211,7
378,12
388,9
437,7
500,14
117,13
240,6
330,7
392,1
398,0
414,10
547,13
660,3
77,12
166,1
177,3
187,10
190,14
192,8
232,7
277,3
354,2
54,8
98,0
117,14
178,0
184,11
196,13
218,12
226,6
147,8
188,14
271,11
305,12
308,6
390,0
417,13
439,0
18,11
105,3
242,12
330,11
359,2
404,8
456,7
564,8
586,10
613,9
29,11
117,3
247,12
306,8
325,11
335,2
362,10
364,7
466,8
491,9
40,12
144,14
229,3
354,8
399,10
454,1
504,7
524,3
577,2
96,8
163,12
270,5
319,13
346,0
371,1
387,11
397,11
415,4
441,8
509,3
65,3
95,12
105,7
138,3
159,9
169,14
190,8
267,14
293,12
326,7
26,6
97,10
277,4
304,12
324,14
372,9
377,10
391,8
464,2
130,8
160,14
268,11
281,12
375,6
443,0
459,13
462,0
101,11
189,3
299,12
310,11
355,2
371,8
397,10
401,8
461,7
511,9
73,3
145,14
205,12
221,9
321,8
321,14
322,12
353,7
364,7
386,3
20,13
96,6
188,7
348,1
367,13
405,10
480,3
554,0
73,0
174,14
237,5
295,10
306,0
334,4
335,2
357,2
369,2
97,13
135,10
180,6
233,1
267,3
276,13
278,7
341,0
78,0
185,14
221,5
231,0
285,4
340,2
385,2
385,2
404,10
59,8
126,14
213,11
234,12
296,6
376,0
413,13
416,0
14,8
59,12
124,11
163,5
341,13
362,1
376,0
384,11
390,8
425,4
535,3
41,10
69,4
144,1
323,8
328,4
336,8
343,14
347,0
408,10
487,12
106,10
136,4
238,1
343,10
365,4
373,8
383,8
417,12
458,14
537,0
124,12
240,14
255,8
324,1
330,3
358,10
398,7
418,3
555,2
55,6
132,10
228,4
341,9
369,8
403,14
472,10
500,12
538,2
19,6
90,10
244,4
289,9
336,14
348,2
383,8
385,10
408,12
56,6
145,10
267,4
339,9
376,2
384,8
391,14
459,10
509,12
92,13
179,6
288,7
355,0
388,10
395,1
414,13
542,3
26,12
162,14
248,3
337,10
350,3
362,8
365,1
393,2
447,7
125,12
235,14
272,8
321,3
373,10
380,1
380,3
381,7
389,2
120,13
229,6
328,1
339,10
343,7
478,13
595,3
648,0
78,11
167,3
213,11
214,2
258,8
266,12
361,7
388,8
394,9
417,10
8,8
54,14
162,12
211,11
227,0
273,13
306,0
353,6
95,11
183,3
302,8
307,12
309,7
311,11
348,2
407,8
429,10
549,9
76,6
137,10
296,4
325,14
349,9
435,10
479,2
630,8
804,12
39,0
149,14
198,5
254,2
312,4
345,10
361,2
369,0
395,2
26,3
48,14
53,8
125,12
253,7
313,3
343,12
376,9
474,14
561,7
16,6
89,10
273,4
305,8
352,9
355,12
422,14
502,10
548,2
63,3
113,14
177,12
251,8
302,7
316,9
330,7
336,14
397,3
426,12
84,12
152,1
211,2
301,10
314,7
401,12
460,1
523,3
573,0
139,13
225,6
289,1
327,7
376,10
395,13
454,3
492,0
48,11
137,3
249,12
268,8
319,2
324,7
391,11
427,8
449,10
527,9
54,12
137,10
149,1
157,2
292,1
302,7
343,12
428,3
495,0
66,6
147,10
250,14
286,4
318,12
338,9
422,10
506,2
600,8
115,3
156,14
266,12
316,7
345,3
356,8
415,7
464,12
485,9
584,14
21,12
162,14
222,8
251,3
374,10
428,1
492,7
511,3
631,2
13,12
148,14
241,3
306,7
309,8
368,3
372,10
391,2
440,1
96,8
131,14
248,12
328,13
335,11
417,6
487,0
551,0
48,13
148,6
262,7
331,0
341,3
350,1
352,13
391,10
133,8
199,12
291,11
298,5
304,8
329,0
392,13
428,3
453,4
540,1
580,11
80,11
168,3
277,12
282,11
326,7
329,2
349,9
360,8
364,10
426,8
121,3
174,14
211,8
262,7
266,12
360,3
369,12
377,9
476,14
556,7
140,0
266,14
331,5
336,10
352,4
364,0
377,2
399,2
422,2
104,12
139,10
168,1
174,2
297,7
326,0
383,12
400,3
437,1
127,11
216,3
249,10
289,8
299,11
319,12
339,2
341,8
345,7
393,9
128,10
144,4
183,4
219,1
258,14
277,8
318,0
320,8
351,10
422,12
125,6
216,10
302,2
313,8
346,10
349,9
381,4
452,12
506,14
70,8
123,14
242,12
389,11
489,6
572,0
578,0
619,13
143,12
226,1
287,2
373,7
396,10
441,0
456,12
467,3
515,1
4,3
56,14
94,12
163,3
202,7
222,8
396,12
424,9
536,14
586,7
103,8
160,12
252,5
312,11
347,1
416,0
440,13
512,8
532,4
664,3
827,11
51,0
176,14
239,5
313,4
320,2
335,10
336,2
368,0
396,2
23,8
59,12
121,11
165,5
170,13
266,4
330,8
334,3
385,0
394,1
