"Time","Event"
65,12
218,14
311,3
311,8
406,10
475,1
524,7
544,3
659,2
7,8
62,14
175,12
251,11
384,6
462,0
490,0
540,13
71,10
97,4
168,1
303,4
397,8
424,8
500,14
586,0
643,10
712,12
103,10
154,4
199,1
261,4
354,8
384,8
443,14
512,0
570,10
613,12
37,6
117,10
269,4
345,9
473,10
514,2
673,8
844,12
875,14
81,0
196,14
251,5
323,0
389,4
413,2
457,2
471,10
523,2
81,8
128,14
243,12
305,11
397,6
474,0
548,0
598,13
110,8
173,14
275,12
306,11
394,6
478,0
507,0
553,13
98,12
193,1
213,2
301,10
323,7
383,12
438,1
544,3
590,0
144,8
163,12
258,5
310,11
408,13
492,4
595,3
692,11
727,1
781,0
875,8
142,6
214,10
385,4
462,9
597,10
653,2
762,8
931,12
962,14
124,0
251,14
291,5
363,0
472,4
496,2
541,2
565,10
632,2
42,0
111,14
164,5
278,0
321,4
345,2
391,2
406,10
483,2
101,8
128,12
231,5
280,11
408,13
498,4
570,3
760,11
802,1
906,0
1001,8
71,8
116,14
215,12
309,11
424,6
517,0
595,0
645,13
26,8
73,14
183,12
254,11
373,6
432,0
480,0
528,13
71,8
136,14
238,12
315,11
421,6
465,0
513,0
557,13
34,10
56,4
145,1
203,4
300,8
327,8
434,14
506,0
563,10
673,12
120,10
138,4
170,1
307,4
405,8
439,8
540,14
608,0
667,10
726,12
145,12
262,1
326,2
375,10
407,7
488,12
544,1
601,3
715,0
82,11
170,3
268,12
302,11
330,2
374,8
435,7
528,8
553,10
664,9
40,11
129,3
223,12
301,11
339,2
385,8
448,7
558,8
584,10
659,9
55,8
76,12
182,5
230,11
360,13
456,4
527,3
630,11
670,1
785,0
879,8
77,3
106,14
228,12
235,8
302,7
367,3
456,12
468,9
566,14
626,7
65,12
130,1
156,2
261,10
311,7
378,12
434,1
520,3
612,0
51,8
80,14
177,12
255,11
343,6
440,0
465,0
511,13
93,10
144,4
226,1
287,4
385,8
399,8
498,14
584,0
645,10
702,12
43,12
167,1
198,2
300,10
332,7
395,12
454,1
571,3
633,0
62,12
238,14
301,8
323,3
409,10
484,1
553,7
572,3
665,2
97,8
127,14
238,12
303,11
439,6
520,0
541,0
586,13
127,6
214,10
305,9
337,4
385,10
428,2
539,8
643,12
685,14
5,13
90,6
175,7
231,1
250,10
383,13
484,3
533,0
148,12
294,14
384,3
384,8
539,10
616,1
695,7
715,3
868,2
13,12
93,1
132,2
240,10
284,7
372,12
427,1
508,3
573,0
125,12
238,14
301,8
324,3
373,10
457,1
506,7
525,3
693,2
104,8
166,14
282,12
303,11
405,6
461,0
497,0
539,13
10,12
124,1
167,2
276,10
331,7
398,12
455,1
543,3
603,0
124,8
159,12
259,5
314,11
406,13
502,4
575,3
760,11
804,1
857,0
951,8
1,3
73,14
145,12
151,8
189,7
239,3
373,12
390,9
498,14
572,7
105,0
223,14
289,5
355,0
458,4
480,2
525,2
542,10
621,2
62,0
141,14
179,5
251,0
358,4
382,2
427,2
445,10
491,2
137,8
177,14
283,12
359,11
500,6
557,0
578,0
628,13
70,10
85,4
190,1
247,4
338,8
378,8
480,14
563,0
623,10
695,12
24,0
117,14
176,5
292,0
332,4
357,2
402,2
425,10
473,2
16,6
109,10
211,4
306,9
436,10
491,2
650,8
754,12
779,14
86,12
160,1
229,2
307,10
367,7
439,12
494,1
569,3
650,0
127,12
254,1
270,2
324,10
388,7
470,12
525,1
590,3
674,0
10,6
101,10
271,4
306,9
416,10
480,2
614,8
721,12
767,14
143,13
249,6
302,1
346,7
348,10
469,13
583,3
655,0
147,0
215,14
263,5
302,0
382,4
407,2
451,2
474,10
554,2
33,12
153,1
217,2
308,10
370,7
444,12
498,1
598,3
644,0
114,13
190,6
301,7
304,1
336,10
467,13
592,3
666,0
66,12
185,14
276,3
301,8
410,10
498,1
590,7
609,3
770,2
51,8
121,12
217,5
266,11
390,13
482,4
596,3
778,11
807,1
861,0
957,8
35,8
109,12
213,5
261,11
374,13
468,4
556,3
655,11
683,1
761,0
855,8
80,6
157,10
293,4
302,9
414,10
464,2
599,8
774,12
810,14
139,8
157,12
259,5
313,11
429,13
525,4
657,3
791,11
827,1
870,0
965,8
71,8
112,14
228,12
303,11
391,6
476,0
499,0
543,13
32,12
109,1
138,2
189,10
221,7
308,12
364,1
484,3
532,0
75,13
141,6
219,7
302,1
338,10
452,13
584,3
620,0
137,6
231,10
371,4
447,9
581,10
633,2
758,8
895,12
976,14
41,13
143,6
256,7
312,1
366,10
481,13
570,3
623,0
141,10
167,4
233,1
304,4
404,8
448,8
550,14
625,0
686,10
774,12
68,6
158,10
326,4
400,9
493,10
581,2
678,8
847,12
881,14
100,6
180,10
311,4
392,9
524,10
569,2
707,8
816,12
836,14
50,12
153,1
183,2
231,10
244,7
344,12
404,1
473,3
565,0
109,12
216,14
300,3
300,8
432,10
504,1
561,7
581,3
747,2
78,13
199,6
303,1
310,7
338,10
448,13
581,3
616,0
28,6
109,10
239,4
303,9
464,10
514,2
633,8
740,12
805,14
127,13
223,6
301,1
307,7
327,10
411,13
509,3
558,0
49,13
145,6
244,7
304,1
318,10
426,13
519,3
593,0
35,11
123,3
259,12
303,11
343,2
388,8
453,7
547,8
578,10
680,9
3,3
73,14
134,12
191,8
256,7
309,3
488,12
496,9
596,14
614,7
84,11
173,3
302,11
310,12
339,2
384,8
437,7
548,8
579,10
685,9
