"Time","Event"
63,31
189,37
219,37
317,28
396,19
474,59
613,1
622,4
702,9
724,17
832,7
930,2
1032,47
1103,52
1188,23
1246,9
1339,78
1444,35
1469,12
1512,21
1607,84
1738,77
1787,48
1847,45
1901,48
1964,27
2008,1
2047,24
2226,44
2262,46
2285,28
2388,19
2473,81
2531,77
2609,72
24,74
160,33
207,80
246,39
290,5
300,69
401,53
443,10
499,29
545,75
664,76
740,77
773,31
798,81
853,44
941,6
1027,62
1096,50
1124,40
1196,65
1307,59
1337,11
1411,57
1512,74
1544,79
1605,30
1725,52
1770,57
1857,37
1902,74
1963,21
2011,42
2051,20
2128,28
2232,35
2357,18
2403,32
2568,44
2607,69
2616,23
2715,63
2792,20
2817,73
2903,34
114,74
252,33
281,80
361,39
436,5
446,69
499,53
546,10
582,29
608,75
733,76
815,77
849,31
881,81
945,44
1080,6
1171,62
1282,50
1301,40
1337,65
1436,59
1465,11
1540,57
1627,74
1683,79
1760,30
1884,52
1920,57
2051,37
2096,74
2169,21
2209,42
2257,20
2330,28
2434,35
2507,18
2605,32
2704,44
2744,69
2751,23
2843,63
2950,20
2970,73
3027,34
93,72
108,43
206,77
272,50
357,59
463,76
529,60
619,40
721,72
813,24
929,39
1057,22
1219,38
1358,35
1380,43
1438,61
1532,59
1607,67
1702,73
1815,2
1886,16
1920,42
1986,7
2100,23
2213,3
2352,51
2477,27
2563,2
2622,82
2745,0
2795,62
2821,23
2924,59
2940,74
3021,79
3169,51
3309,80
3409,17
3503,26
3574,16
113,59
224,84
318,36
413,59
488,64
564,34
625,79
644,33
720,66
822,12
860,73
917,48
959,43
1017,44
1054,44
1116,9
1202,30
1266,11
1382,24
1439,11
1531,33
1563,55
1651,74
1721,5
1774,41
1878,26
1992,72
2001,82
2105,27
2146,28
2220,36
2277,16
2355,46
2436,43
2508,23
2551,72
2676,49
2700,56
2714,76
2809,28
2917,63
2931,20
3009,2
3125,18
3171,44
3212,24
3278,4
3313,50
3474,33
3562,40
68,8
148,2
204,82
286,9
318,73
452,45
512,58
626,65
739,5
825,39
892,34
923,34
965,15
1003,34
1045,78
1077,1
1139,63
1245,17
1331,16
1438,24
1500,38
1530,72
1611,49
1684,54
1783,31
1890,15
1933,7
2059,43
2114,43
2194,39
2267,8
2399,48
2404,54
2526,68
2617,33
2648,63
2737,10
2778,9
2845,3
2851,68
2867,12
113,80
189,38
305,15
410,3
441,19
514,16
546,68
623,23
767,67
838,21
919,30
948,65
1031,52
1126,83
1150,13
1247,46
1301,63
1383,55
1485,36
1594,15
1617,44
1732,9
1764,10
1827,54
1917,57
2014,8
2105,4
2163,11
2241,66
2304,68
2471,65
2536,80
2620,29
2787,75
2878,83
3006,12
3093,31
3198,64
3310,26
30,45
146,2
263,66
320,80
402,81
557,78
602,39
685,63
725,12
826,0
916,36
1035,2
1173,44
1228,18
1265,49
1362,70
1414,10
1517,65
1591,21
1702,58
1752,67
