[[[3], [2], [6], [1], [6], [2], [0]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [1], [0], [0], [1], [0]], [53, 25, 21, 15, 12, 23, 1], 0.9997780246401766]
[[[3], [6], [2], [6], [1], [2], [0]], [2, 2, 6, 6, 1, 1, 2], [[1], [1], [0], [1], [0], [1], [1]], [47, 23, 14, 41, 15, 38, 1], 0]
[[[6], [2], [3], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [1], [0], [1]], [51, 22, 13, 53, 18, 33, 1], 0.9997195393364469]
[[[3], [2], [6], [0], [6], [1], [2]], [3, 2, 6, 6, 6, 1, 2], [[1], [0], [0], [1], [0], [1], [1]], [51, 22, 14, 25, 20, 25, 1], 0.9997690266784456]
[[[3], [2], [6], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 2, 2], [[1], [0], [0], [2], [0], [0], [1]], [51, 22, 14, 25, 17, 36, 2], 0.999755529887689]
[[[2], [3], [6], [6], [1], [0], [2]], [2, 3, 6, 6, 6, 1, 2], [[1], [1], [0], [1], [0], [1], [1]], [47, 22, 19, 44, 18, 36, 1], 0.9997270372611093]
[[[2], [4], [6], [1], [6], [0], [2]], [3, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [0], [1], [0]], [49, 19, 36, 20, 15, 23, 2], 0]
[[[3], [6], [2], [6], [0], [1], [2]], [2, 2, 6, 6, 1, 1, 2], [[1], [0], [0], [2], [0], [0], [1]], [47, 23, 13, 38, 16, 24, 2], 0.999761528438864]
[[[2], [4], [6], [1], [6], [2], [0]], [4, 3, 6, 1, 1, 1, 2], [[0], [1], [0], [1], [0], [1], [0]], [20, 16, 37, 19, 16, 26, 1], 0]
[[[6], [2], [3], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [1], [2], [0], [1], [0]], [52, 22, 13, 50, 19, 35, 1], 0.9997180397582627]
[[[3], [2], [6], [1], [6], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [1], [0], [0], [1], [0]], [30, 21, 29, 15, 14, 26, 1], 0.9998005198988017]
[[[2], [4], [6], [0], [1], [6], [2]], [4, 3, 6, 1, 1, 6, 2], [[0], [1], [0], [0], [0], [1], [1]], [20, 16, 37, 19, 18, 38, 1], 0.9997810239787497]
[[[3], [6], [2], [6], [1], [0], [2]], [2, 2, 6, 6, 1, 1, 2], [[1], [1], [0], [1], [0], [1], [1]], [47, 23, 14, 41, 15, 38, 2], 0.9997375344501107]
[[[4], [2], [0], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [1], [0], [0], [1], [1]], [49, 26, 25, 20, 9, 25, 1], 0.9997720259900247]
[[[2], [6], [1], [4], [0], [2], [6]], [4, 3, 6, 6, 1, 6, 2], [[1], [0], [1], [0], [1], [0], [0]], [20, 17, 19, 23, 15, 27, 0], 0]
[[[2], [3], [6], [6], [1], [0], [2]], [3, 3, 6, 6, 1, 2, 2], [[0], [0], [1], [1], [0], [0], [1]], [53, 22, 28, 21, 12, 38, 1], 0.999742033279138]
[[[3], [2], [6], [6], [1], [0], [2]], [2, 2, 6, 6, 1, 2, 2], [[1], [0], [1], [1], [0], [0], [1]], [47, 23, 14, 42, 20, 43, 1], 0.9997210389168807]
[[[3], [2], [6], [6], [1], [0], [2]], [2, 2, 6, 6, 1, 2, 2], [[1], [0], [1], [1], [1], [1], [0]], [47, 23, 14, 42, 20, 38, 2], 0.9997285368527897]
[[[3], [6], [2], [6], [1], [2], [0]], [3, 2, 2, 6, 1, 1, 2], [[1], [1], [0], [0], [0], [2], [0]], [30, 30, 21, 19, 10, 33, 1], 0.9997900220484567]
[[[3], [2], [6], [6], [1], [2], [0]], [2, 2, 6, 6, 1, 2, 2], [[1], [0], [1], [0], [1], [2], [0]], [47, 23, 14, 42, 18, 41, 1], 0.9997285368527898]
[[[3], [0], [2], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [0], [1], [0], [0], [2]], [53, 25, 35, 21, 10, 25, 1], 0.999748031749333]
[[[3], [2], [6], [0], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [0], [0], [1], [0], [1]], [52, 21, 16, 24, 19, 27, 1], 0.9997645277279485]
[[[3], [0], [2], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [1], [0], [1], [0], [0], [1]], [30, 30, 35, 20, 10, 25, 1], 0.9997795243083384]
[[[0], [4], [2], [6], [1], [6], [2]], [4, 2, 6, 6, 1, 2, 2], [[0], [1], [0], [1], [0], [1], [0]], [20, 18, 43, 21, 10, 34, 1], 0.9997840233263203]
[[[0], [3], [2], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [0], [1], [0], [0], [1]], [30, 22, 32, 18, 10, 27, 0], 0.9997930214230218]
[[[2], [4], [6], [1], [6], [2], [0]], [3, 3, 6, 6, 1, 1, 2], [[0], [1], [0], [1], [0], [1], [1]], [49, 19, 41, 20, 17, 24, 1], 0]
[[[2], [6], [3], [6], [1], [0], [2]], [2, 3, 3, 6, 6, 1, 2], [[0], [1], [0], [2], [0], [1], [1]], [47, 20, 14, 69, 25, 32, 1], 0.9996955463554199]
[[[3], [2], [6], [1], [6], [2], [0]], [3, 2, 6, 6, 1, 1, 2], [[1], [1], [0], [0], [0], [2], [0]], [53, 33, 23, 14, 14, 24, 1], 0.9997630280822815]
[[[2], [6], [3], [6], [1], [0], [2]], [3, 3, 6, 6, 6, 1, 2], [[1], [0], [0], [2], [0], [0], [1]], [51, 24, 14, 56, 19, 32, 0], 0]
[[[3], [2], [6], [1], [0], [6], [2]], [3, 2, 6, 6, 1, 6, 2], [[1], [1], [0], [0], [1], [0], [1]], [30, 30, 25, 13, 14, 23, 1], 0.9998020196007064]
[[[3], [2], [6], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 2, 2], [[1], [0], [1], [1], [0], [1], [0]], [51, 22, 14, 32, 17, 41, 2], 0.9997375344501105]
[[[2], [3], [4], [6], [1], [6], [2]], [3, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [1], [0], [1]], [29, 18, 43, 38, 16, 27, 1], 0.9997480317493332]
[[[3], [2], [6], [0], [6], [1], [2]], [3, 2, 6, 6, 6, 1, 2], [[1], [1], [0], [0], [0], [1], [1]], [51, 22, 14, 29, 19, 26, 2], 0.9997615284388641]
[[[2], [6], [3], [6], [1], [0], [2]], [3, 3, 6, 6, 6, 1, 2], [[1], [0], [0], [1], [1], [1], [0]], [51, 24, 14, 56, 17, 32, 1], 0]
[[[2], [0], [3], [6], [6], [1], [2]], [2, 3, 3, 6, 6, 1, 2], [[1], [0], [1], [0], [1], [0], [2]], [47, 22, 15, 69, 18, 21, 1], 0.9997150406086422]
[[[2], [3], [0], [6], [6], [1], [2]], [3, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [0], [0], [2]], [30, 18, 31, 33, 15, 24, 1], 0.9997750253106018]
[[[4], [2], [6], [1], [6], [2], [0]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [0], [0], [0], [2], [1]], [49, 26, 28, 14, 11, 22, 1], 0]
[[[3], [4], [2], [6], [1], [6], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [0], [1], [0], [1], [0]], [51, 23, 35, 27, 12, 27, 1], 0.9997390340575368]
[[[2], [3], [6], [6], [1], [2], [0]], [2, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [1], [1], [0]], [47, 22, 15, 44, 17, 34, 2], 0.9997345352420063]
[[[3], [0], [6], [2], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [0], [0], [0], [1], [1], [1]], [51, 22, 20, 25, 21, 24, 2], 0.9997585291587776]
[[[4], [3], [6], [6], [0], [1], [2]], [4, 3, 6, 6, 1, 1, 2], [[0], [1], [1], [0], [0], [0], [2]], [19, 20, 57, 18, 13, 26, 1], 0.9997720259900248]
[[[3], [2], [6], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [0], [1], [0], [1], [1], [0]], [30, 30, 22, 15, 11, 31, 2], 0.9997945211136785]
[[[6], [2], [3], [0], [6], [1], [2]], [3, 2, 6, 6, 6, 1, 2], [[1], [0], [0], [1], [1], [0], [2]], [51, 22, 13, 53, 24, 21, 2], 0.9997285368527895]
[[[2], [6], [3], [6], [1], [0], [2]], [3, 3, 6, 6, 6, 1, 2], [[1], [0], [1], [1], [0], [1], [0]], [51, 24, 14, 64, 18, 35, 0], 0]
[[[6], [2], [3], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [1], [1], [1], [1], [0]], [52, 22, 13, 50, 18, 36, 1], 0.9997180397582626]
[[[0], [3], [6], [2], [6], [1], [2]], [2, 3, 6, 6, 6, 1, 2], [[1], [0], [1], [0], [0], [1], [1]], [47, 24, 15, 43, 24, 22, 2], 0.9997405336672125]
[[[2], [3], [6], [6], [0], [1], [2]], [2, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [1], [0], [1]], [47, 22, 15, 44, 17, 23, 1], 0.9997525306255985]
[[[4], [2], [6], [0], [1], [6], [2]], [4, 2, 6, 1, 1, 6, 2], [[1], [0], [1], [0], [0], [0], [2]], [20, 32, 28, 15, 12, 30, 1], 0.9997960208065851]
[[[2], [6], [3], [6], [0], [1], [2]], [3, 3, 6, 6, 1, 1, 2], [[0], [0], [1], [1], [1], [0], [1]], [52, 23, 14, 59, 17, 21, 1], 0.9997255376716779]
[[[3], [2], [0], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [0], [1], [1]], [51, 22, 14, 44, 15, 26, 2], 0.9997450325097367]
[[[3], [2], [6], [6], [1], [2], [0]], [3, 2, 6, 6, 1, 1, 2], [[1], [0], [1], [0], [1], [1], [1]], [30, 30, 22, 15, 11, 31, 1], 0.999797520501741]
[[[2], [3], [6], [6], [1], [2], [0]], [3, 3, 6, 6, 1, 2, 2], [[0], [0], [1], [1], [0], [1], [1]], [53, 22, 28, 21, 12, 38, 1], 0.9997435328933126]
[[[4], [2], [6], [1], [0], [6], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [0], [1], [0], [0], [1]], [49, 26, 25, 14, 12, 24, 2], 0.9997750253106016]
[[[3], [2], [6], [6], [1], [2], [0]], [3, 2, 6, 6, 1, 2, 2], [[1], [0], [0], [1], [0], [2], [0]], [30, 30, 22, 14, 12, 32, 0], 0.999796020806585]
