(8, 0), (9, 4), (69, 3), (96, 2), (121, 6), (170, 6), (209, 1), (265, 0), (290, 2)
(-71, 0), (-17, 2), (-15, 3), (21, 4), (63, 6), (107, 6), (111, 1), (182, 2), (185, 0)
(-9, 0), (36, 3), (91, 4), (99, 2), (111, 0), (144, 6), (185, 1), (209, 6), (262, 2)
(71, 0), (106, 4), (148, 3), (182, 2), (258, 6), (266, 6), (290, 1), (370, 2), (404, 0)
(66, 4), (142, 0), (187, 3), (212, 6), (230, 2), (282, 6), (313, 0), (317, 1), (393, 2)
(34, 0), (95, 3), (142, 2), (144, 4), (190, 6), (240, 1), (259, 6), (317, 2), (377, 0)
(49, 4), (54, 0), (66, 0), (112, 3), (144, 6), (154, 2), (184, 6), (185, 1), (270, 2)
(28, 4), (127, 0), (136, 6), (137, 2), (200, 3), (224, 0), (265, 6), (294, 1), (371, 2)
(66, 4), (121, 0), (142, 2), (149, 6), (187, 3), (277, 6), (328, 1), (400, 2), (461, 0)
(64, 0), (78, 4), (109, 3), (134, 2), (164, 6), (220, 6), (267, 1), (339, 0), (347, 2)
(105, 0), (132, 4), (171, 3), (199, 2), (239, 6), (270, 6), (305, 1), (323, 0), (381, 2)
(106, 4), (141, 0), (197, 3), (247, 0), (251, 2), (263, 6), (270, 6), (280, 1), (361, 2)
(3, 0), (30, 4), (63, 3), (128, 6), (129, 1), (136, 2), (186, 6), (208, 2), (246, 0)
(116, 4), (156, 0), (236, 2), (239, 3), (266, 6), (349, 6), (359, 1), (374, 0), (447, 2)
(116, 4), (212, 0), (269, 2), (271, 6), (272, 3), (351, 0), (373, 6), (379, 1), (453, 2)
(4, 4), (23, 0), (73, 2), (81, 3), (166, 6), (179, 6), (187, 1), (187, 0), (257, 2)
(-45, 0), (2, 3), (21, 4), (71, 2), (79, 6), (110, 6), (115, 1), (197, 2), (211, 0)
(122, 4), (166, 0), (199, 2), (241, 3), (267, 6), (341, 6), (380, 1), (460, 2), (507, 0)
(99, 4), (219, 6), (221, 0), (242, 2), (298, 3), (399, 6), (416, 1), (487, 2), (531, 0)
(119, 4), (192, 0), (204, 6), (228, 2), (242, 0), (275, 3), (338, 6), (341, 1), (427, 2)
